assay_description,document_journal,document_year,target_chembl_id,target_pref_name,molecule_chembl_id,standard_type,standard_units,canonical_smiles,nIC50,pIC50,MW,LogP,NumHDonors,NumHAcceptors
Inhibition of p53-Hdm2 interaction by FP assay,Bioorg. Med. Chem. Lett.,2006,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL380178,IC50,nM,Nc1cc(Cl)ccc1CN1C(=O)c2cc(I)ccc2N(CCCN2CCOCC2)C(=O)[C@@H]1c1ccc(Cl)cc1,3600.0,5.443697499232712,679.3860000000001,5.632800000000006,1.0,5.0
Inhibition of p53-Hdm2 interaction by FP assay,Bioorg. Med. Chem. Lett.,2006,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL424876,IC50,nM,COCCOCCN1C(=O)[C@H](c2ccc(Cl)cc2)N(Cc2ccc(Cl)cc2O)C(=O)c2cc(I)ccc21,2440.0,5.61261017366127,655.3160000000003,5.696900000000007,1.0,5.0
Inhibition of p53-Hdm2 interaction by FP assay,Bioorg. Med. Chem. Lett.,2006,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL210545,IC50,nM,COCCOCCN1C(=O)[C@H](c2ccc(Cl)cc2)N([C@H](C)c2ccc(Cl)cc2N)C(=O)c2cc(I)ccc21,700.0,6.154901959985743,668.3590000000003,6.134500000000005,1.0,5.0
Inhibition of p53-Hdm2 interaction by FP assay,Bioorg. Med. Chem. Lett.,2006,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL208554,IC50,nM,Nc1cc(Cl)ccc1CN1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(Cl)cc1,810.0,6.091514981121351,652.3160000000001,6.165400000000004,2.0,4.0
Inhibition of p53-Hdm2 interaction by FP assay,Bioorg. Med. Chem. Lett.,2006,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL207332,IC50,nM,CC(c1ccc(Cl)cc1N)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(Cl)cc1,250.0,6.6020599913279625,666.3430000000002,6.726400000000005,2.0,4.0
Inhibition of p53-Hdm2 interaction by FP assay,Bioorg. Med. Chem. Lett.,2006,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL379293,IC50,nM,CC(c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2N(CCCCC(=O)O)C(=O)[C@@H]1c1ccc(Cl)cc1,850.0,6.070581074285707,651.3280000000002,7.144200000000006,1.0,3.0
Inhibition of p53-Hdm2 interaction by FP assay,Bioorg. Med. Chem. Lett.,2006,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL377203,IC50,nM,C[C@H](c1ccc(Cl)cc1N)N1C(=O)c2cc(I)ccc2N(CCN2CCOCC2)C(=O)[C@@H]1c1ccc(Cl)cc1,790.0,6.102372908709558,679.3860000000001,5.803700000000006,1.0,5.0
Binding affinity to human HDM2,Nature,2007,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL361103,IC50,nM,O=C(O)[C@H](c1ccc(Cl)cc1)N1C(=O)c2cc(I)ccc2NC(=O)[C@@H]1c1ccc(Cl)cc1,420.0,6.376750709602099,581.1930000000001,5.559500000000003,2.0,3.0
Binding affinity to MDM2,Bioorg. Med. Chem. Lett.,2008,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL515487,IC50,nM,COc1ccc(C2=NC(c3ccc(Cl)cc3)C(c3ccc(Cl)cc3)N2)c(OC(C)C)c1,90.0,7.045757490560675,455.38500000000016,6.621600000000006,1.0,4.0
Inhibition of his-tagged human recombinant MDM2 binding to p53-based peptide PMDM6-F by fluorescence polarization assay,J. Med. Chem.,2009,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL577393,IC50,nM,CN1CCN(CCNC(=O)[C@@H]2N[C@H](CC(C)(C)C)[C@]3(C(=O)Nc4cc(Cl)ccc43)[C@H]2c2cccc(Cl)c2F)CC1,25.7,7.590066876668706,590.5710000000001,4.246400000000003,3.0,5.0
Inhibition of his-tagged human recombinant MDM2 binding to p53-based peptide PMDM6-F by fluorescence polarization assay,J. Med. Chem.,2009,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL379173,IC50,nM,CC(C)(C)C[C@H]1N[C@@H](C(=O)NCCN2CCOCC2)[C@H](c2cccc(Cl)c2F)[C@@]12C(=O)Nc1cc(Cl)ccc12,28.3,7.548213564475709,577.5280000000001,4.331200000000004,3.0,5.0
Inhibition of his-tagged human recombinant MDM2 binding to p53-based peptide PMDM6-F by fluorescence polarization assay,J. Med. Chem.,2009,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL575121,IC50,nM,CN1CCC(CCNC(=O)[C@@H]2N[C@H](CC(C)(C)C)[C@]3(C(=O)Nc4cc(Cl)ccc43)[C@H]2c2cccc(Cl)c2F)CC1,32.4,7.489454989793388,589.5830000000001,5.7309000000000045,3.0,4.0
Inhibition of his-tagged human recombinant MDM2 binding to p53-based peptide PMDM6-F by fluorescence polarization assay,J. Med. Chem.,2009,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL575538,IC50,nM,COCCOCCNC(=O)[C@@H]1N[C@H](CC(C)(C)C)[C@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,32.4,7.489454989793388,566.5010000000002,4.662000000000004,3.0,5.0
Inhibition of Mdm2 -p53 protein interaction by ELISA,J. Med. Chem.,2011,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1688151,IC50,nM,Nc1ccc(CCN2C(=O)c3ccccc3C2(O)c2ccc(Cl)cc2)cc1,6200.0,5.207608310501746,378.859,3.8141000000000025,2.0,3.0
Inhibition of Mdm2 -p53 protein interaction by ELISA,J. Med. Chem.,2011,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1688150,IC50,nM,O=C1c2ccccc2C(O)(c2ccc(Cl)cc2)N1CCc1ccc([N+](=O)[O-])cc1,6200.0,5.207608310501746,408.8410000000002,4.140100000000003,1.0,4.0
Inhibition of Mdm2 -p53 protein interaction by ELISA,J. Med. Chem.,2011,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1688149,IC50,nM,O=C1c2ccccc2C(O)(c2ccc(Cl)cc2)N1CCc1ccccc1,7200.0,5.142667503568732,363.8440000000001,4.231900000000003,1.0,2.0
Inhibition of Mdm2 -p53 protein interaction by ELISA,J. Med. Chem.,2011,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1688147,IC50,nM,O=C1c2ccccc2C(O)(c2ccc(Br)cc2)N1Cc1ccc([N+](=O)[O-])cc1,3100.0,5.508638306165727,439.26500000000016,4.206700000000003,1.0,4.0
Inhibition of Mdm2 -p53 protein interaction by ELISA,J. Med. Chem.,2011,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1688146,IC50,nM,O=C1c2ccccc2C(O)(c2ccc(Cl)cc2)N1Cc1ccc([N+](=O)[O-])cc1,2400.0,5.619788758288394,394.81400000000014,4.097600000000003,1.0,4.0
Inhibition of Mdm2 -p53 protein interaction by ELISA,J. Med. Chem.,2011,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1688143,IC50,nM,N#Cc1ccc(CN2C(=O)c3ccccc3C2(O)c2ccc(Cl)cc2)cc1,6000.0,5.221848749616356,374.827,4.061080000000003,1.0,3.0
Inhibition of Mdm2 -p53 protein interaction by ELISA,J. Med. Chem.,2011,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1688140,IC50,nM,O=C1c2ccccc2C(O)(c2ccc(Cl)cc2)N1Cc1ccc(Br)cc1,4500.0,5.346787486224656,428.7130000000001,4.951900000000002,1.0,2.0
Inhibition of Mdm2 -p53 protein interaction by ELISA,J. Med. Chem.,2011,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1688139,IC50,nM,O=C1c2ccccc2C(O)(c2ccc(Cl)cc2)N1Cc1ccc(Cl)cc1,4200.0,5.376750709602099,384.26200000000006,4.842800000000002,1.0,2.0
Inhibition of Mdm2 -p53 protein interaction by ELISA,J. Med. Chem.,2011,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1688170,IC50,nM,O=C1c2ccccc2C(OC2CCC(O)C2)(c2ccc(Cl)cc2)N1Cc1ccccc1,3000.0,5.522878745280337,433.93500000000006,5.127100000000004,1.0,3.0
Inhibition of Mdm2 -p53 protein interaction by ELISA,J. Med. Chem.,2011,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1688251,IC50,nM,O=C1c2ccccc2C(OC2CCC(O)C2)(c2ccc(Cl)cc2)N1Cc1ccc([N+](=O)[O-])cc1,700.0,6.154901959985743,478.9320000000001,5.035300000000004,1.0,5.0
Inhibition of Mdm2 -p53 protein interaction by ELISA,J. Med. Chem.,2011,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1688252,IC50,nM,O=C1c2ccccc2C(O[C@H]2CC[C@@H](O)C2)(c2ccc(Cl)cc2)N1Cc1ccc([N+](=O)[O-])cc1,400.0,6.3979400086720375,478.9320000000001,5.035300000000004,1.0,5.0
Inhibition of Mdm2 -p53 protein interaction by ELISA,J. Med. Chem.,2011,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1688253,IC50,nM,N#Cc1ccc(CN2C(=O)c3ccccc3C2(O[C@H]2CC[C@@H](O)C2)c2ccc(Cl)cc2)cc1,2300.0,5.638272163982407,458.94500000000016,4.998780000000005,1.0,4.0
Inhibition of Mdm2 -p53 protein interaction by ELISA,J. Med. Chem.,2011,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1688259,IC50,nM,O=C1c2ccccc2C(OCCCO)(c2ccc(Cl)cc2)N1Cc1ccc([N+](=O)[O-])cc1,450.0,6.346787486224656,452.8940000000001,4.504300000000003,1.0,5.0
Inhibition of Mdm2 -p53 protein interaction by ELISA,J. Med. Chem.,2011,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1688260,IC50,nM,O=C1c2ccccc2C(OCCCCO)(c2ccc(Cl)cc2)N1Cc1ccc([N+](=O)[O-])cc1,360.0,6.443697499232712,466.9210000000001,4.8944000000000045,1.0,5.0
Inhibition of Mdm2 -p53 protein interaction by ELISA,J. Med. Chem.,2011,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1688270,IC50,nM,O=C1c2ccccc2C(O[C@H]2CCC[C@H](O)CCC2)(c2ccc(Cl)cc2)N1Cc1ccc([N+](=O)[O-])cc1,380.0,6.42021640338319,521.0130000000001,6.205600000000008,1.0,5.0
Inhibition of Mdm2 -p53 protein interaction by ELISA,J. Med. Chem.,2011,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1688275,IC50,nM,O=C1c2ccccc2C(O[C@H]2CC[C@H](O)CC2)(c2ccc(Cl)cc2)N1Cc1ccc([N+](=O)[O-])cc1,390.0,6.4089353929735005,492.9590000000002,5.425400000000005,1.0,5.0
Inhibition of Mdm2 -p53 protein interaction by ELISA,J. Med. Chem.,2011,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1688278,IC50,nM,O=C1c2ccccc2C(OCC2(CO)CC2)(c2ccc(Cl)cc2)N1Cc1ccc(F)cc1,2600.0,5.585026652029182,451.92500000000007,5.125300000000004,1.0,3.0
Inhibition of Mdm2 -p53 protein interaction by ELISA,J. Med. Chem.,2011,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1688284,IC50,nM,C[C@H](c1ccc(Cl)cc1)N1C(=O)c2ccccc2C1(OCC1(CO)CC1)c1ccc(Cl)cc1,8800.0,5.055517327849831,482.4070000000004,6.200600000000007,1.0,3.0
Inhibition of Mdm2 -p53 protein interaction by ELISA,J. Med. Chem.,2011,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1688303,IC50,nM,O=C1c2ccccc2[C@](OCC2(CO)CC2)(c2ccc(Cl)cc2)N1Cc1ccc([N+](=O)[O-])cc1,170.0,6.769551078621726,478.9320000000001,4.8944000000000045,1.0,5.0
Inhibition of Mdm2 -p53 protein interaction by ELISA,J. Med. Chem.,2011,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1688304,IC50,nM,O=C1c2ccccc2[C@@](OCC2(CO)CC2)(c2ccc(Cl)cc2)N1Cc1ccc([N+](=O)[O-])cc1,1300.0,5.886056647693163,478.9320000000001,4.8944000000000045,1.0,5.0
Inhibition of GST-tagged MDM2 binding to p53 by ELISA,Bioorg. Med. Chem. Lett.,2012,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL2152318,IC50,nM,CC1=C(C(=O)N2CCNC(=O)C2)SC2=N[C@@H](c3ccc(Cl)cc3)[C@@H](c3ccc(Cl)cc3)N21,2700.0,5.568636235841013,487.4120000000001,4.384100000000004,1.0,5.0
Inhibition of GST-tagged MDM2 binding to p53 by ELISA,Bioorg. Med. Chem. Lett.,2012,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL2152319,IC50,nM,CCC1=C(C(=O)N2CCNC(=O)C2)SC2=N[C@@H](c3ccc(Cl)cc3)[C@@H](c3ccc(Cl)cc3)N21,1800.0,5.7447274948966935,501.43900000000014,4.774200000000004,1.0,5.0
Inhibition of GST-tagged MDM2 binding to p53 by ELISA,Bioorg. Med. Chem. Lett.,2012,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL2152320,IC50,nM,CC(C)C1=C(C(=O)N2CCNC(=O)C2)SC2=N[C@@H](c3ccc(Cl)cc3)[C@@H](c3ccc(Cl)cc3)N21,260.0,6.585026652029182,515.466,5.020200000000004,1.0,5.0
Inhibition of GST-tagged MDM2 binding to p53 by ELISA,Bioorg. Med. Chem. Lett.,2012,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL2152321,IC50,nM,CCCC1=C(C(=O)N2CCNC(=O)C2)SC2=N[C@@H](c3ccc(Cl)cc3)[C@@H](c3ccc(Cl)cc3)N21,3100.0,5.508638306165727,515.466,5.164300000000005,1.0,5.0
Inhibition of GST-tagged MDM2 binding to p53 by ELISA,Bioorg. Med. Chem. Lett.,2012,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL2152322,IC50,nM,O=C1CN(C(=O)C2=C(C3CC3)N3C(=N[C@@H](c4ccc(Cl)cc4)[C@H]3c3ccc(Cl)cc3)S2)CCN1,9500.0,5.022276394711152,513.4500000000002,4.774200000000005,1.0,5.0
Inhibition of GST-tagged MDM2 binding to p53 by ELISA,Bioorg. Med. Chem. Lett.,2012,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL2152323,IC50,nM,CC(C)(C)C1=C(C(=O)N2CCNC(=O)C2)SC2=N[C@@H](c3ccc(Cl)cc3)[C@@H](c3ccc(Cl)cc3)N21,3000.0,5.522878745280337,529.493,5.410300000000006,1.0,5.0
Inhibition of GST-tagged MDM2 binding to p53 by ELISA,Bioorg. Med. Chem. Lett.,2012,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL2151052,IC50,nM,COCC1=C(C(=O)N2CCNC(=O)C2)SC2=N[C@@H](c3ccc(Cl)cc3)[C@@H](c3ccc(Cl)cc3)N21,7100.0,5.1487416512809245,517.4380000000001,4.010600000000004,1.0,6.0
Inhibition of GST-tagged MDM2 binding to p53 by ELISA,Bioorg. Med. Chem. Lett.,2012,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL2152324,IC50,nM,CC(=O)N1CCN(C(=O)C2=C(C(C)C)N3C(=N[C@@H](c4ccc(Cl)cc4)[C@H]3c3ccc(Cl)cc3)S2)CC1,840.0,6.075720713938118,543.52,5.752500000000006,0.0,5.0
Inhibition of GST-tagged MDM2 binding to p53 by ELISA,Bioorg. Med. Chem. Lett.,2012,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL2152325,IC50,nM,CC(C)C1=C(C(=O)N2CCC(C(=O)N(C)C)CC2)SC2=N[C@@H](c3ccc(Cl)cc3)[C@@H](c3ccc(Cl)cc3)N21,4400.0,5.356547323513812,571.5740000000001,6.388600000000007,0.0,5.0
Inhibition of GST-tagged MDM2 binding to p53 by ELISA,Bioorg. Med. Chem. Lett.,2012,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL2152326,IC50,nM,CC(C)C1=C(C(=O)N2CCOCC2)SC2=N[C@@H](c3ccc(Cl)cc3)[C@@H](c3ccc(Cl)cc3)N21,340.0,6.468521082957745,502.467,5.920600000000006,0.0,5.0
Inhibition of GST-tagged MDM2 binding to p53 by ELISA,Bioorg. Med. Chem. Lett.,2012,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL2152327,IC50,nM,CC(C)C1=C(C(=O)N2CCNC(=O)CC2)SC2=N[C@@H](c3ccc(Cl)cc3)[C@@H](c3ccc(Cl)cc3)N21,1100.0,5.958607314841775,529.493,5.410300000000007,1.0,5.0
Inhibition of GST-tagged MDM2 binding to p53 by ELISA,Bioorg. Med. Chem. Lett.,2012,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL2152328,IC50,nM,CC(C)C1=C(C(=O)N2CCN(CCO)CC2)SC2=N[C@@H](c3ccc(Cl)cc3)[C@@H](c3ccc(Cl)cc3)N21,1800.0,5.7447274948966935,545.5360000000001,5.198300000000006,1.0,6.0
Inhibition of GST-tagged MDM2 binding to p53 by ELISA,Bioorg. Med. Chem. Lett.,2012,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL2152329,IC50,nM,CC(C)C1=C(C(=O)N2CCN(C)CC2)SC2=N[C@@H](c3ccc(Cl)cc3)[C@@H](c3ccc(Cl)cc3)N21,1200.0,5.920818753952375,515.51,5.835800000000007,0.0,5.0
Inhibition of GST-tagged MDM2 binding to p53 by ELISA,Bioorg. Med. Chem. Lett.,2012,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL2152330,IC50,nM,CC(C)C1=C(C(=O)N2C[C@H](C)N[C@H](C)C2)SC2=N[C@@H](c3ccc(Cl)cc3)[C@@H](c3ccc(Cl)cc3)N21,140.0,6.853871964321762,529.537,6.270600000000007,1.0,5.0
Inhibition of human His-tagged p53 (1 to 132 amino acid residues)/GST-tagged MDM2 L33E mutant (25 to 108 amino acid residues) interaction by HTRF assay,Bioorg. Med. Chem. Lett.,2013,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL2315846,IC50,nM,CC(C)C1=C(C(=O)N2CC[C@H]2C(=O)N(C)C)SC2=N[C@@](C)(c3ccc(Cl)cc3)[C@@H](c3ccc(Cl)cc3)N21,140.0,6.853871964321762,557.5470000000001,5.925000000000007,0.0,5.0
Inhibition of human recombinant GST-thrombin-MDM2 (1 to 188) expressed in Escherichia coli assessed as reduction of MDM2-p53 interaction incubated for 20 mins followed by p53 addition measured after 60 mins by HTRF assay,J. Med. Chem.,2013,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL2347375,IC50,nM,CC(C)(C)C[C@@H]1N[C@@H](C(=O)NCCN2CCOCC2)[C@H](c2cccc(Cl)c2F)[C@]12C(=O)Nc1cc(Cl)ccc12,9.4,8.0268721464003,577.5280000000001,4.331200000000004,3.0,5.0
Inhibition of human recombinant GST-thrombin-MDM2 (1 to 188) expressed in Escherichia coli assessed as reduction of MDM2-p53 interaction incubated for 20 mins followed by p53 addition measured after 60 mins by HTRF assay,J. Med. Chem.,2013,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL2347379,IC50,nM,O=C(O)C[C@@H]1C[C@@H](c2cccc(Cl)c2)[C@H](c2ccc(Cl)cc2)N(CC2CC2)C1=O,8100.0,5.091514981121351,432.3470000000002,5.551500000000004,1.0,2.0
